2017-12-10 07:17:24,068 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 07:33:17,160 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 07:49:13,988 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 08:06:18,635 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 08:23:47,154 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 08:40:32,946 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 08:58:15,994 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 09:16:43,405 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 09:32:48,507 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 09:49:08,653 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 09:50:32,069 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 10:06:00,120 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 10:26:31,683 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
2017-12-10 10:43:58,023 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.14
